Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;G+A-PK;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Crs;TklW;Int;Fld;2CrdY;Fls;OG;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt_stats_keeper;PKA;PKsv;PKm;Convocatoria 1 (marzo 2026);Convocatoria 2 (noviembre 2025);Convocatoria 3 (octubre 2025);Convocatoria 4 (septiembre 2025);Convocatoria 5 (junio 2025);Convocatoria 6 (marzo 2025);Convocatoria 7 (noviembre 2024);Convocatoria 8 (octubre 2024);Convocatoria 9 (septiembre 2024);Convocatoria 10 (junio 2024, Eurocopa)
1;Brenden Aaronson;us USA;FW, MF;Leeds United;eng Premier League;25,0;2000,0;29,0;23,0;1908,0;21,2;4,0;3,0;7,0;4,0;0,0;0,0;1,0;0,0;0,33;40,0;15,0;37,5;1,89;0,71;0,1;0,27;35,0;22,0;13,0;41,0;0,0;17,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
2;Zach Abbott;eng ENG;DF;Nottingham Forest;eng Premier League;19,0;2006,0;2,0;1,0;120,0;1,33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;2,0;2,0;1,0;0,0;2,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
3;Jones El-Abdellaoui;ma MAR;FW, MF;Celta Vigo;es La Liga;20,0;2006,0;18,0;3,0;525,0;5,83;2,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0;0,34;15,0;4,0;26,67;2,57;0,69;0,13;0,5;25,0;1,0;3,0;3,0;0,0;4,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
4;Himad Abdelli;dz ALG;FW, MF;Marseille;fr Ligue 1;26,0;1999,0;17,0;11,0;1010,0;11,22;2,0;0,0;2,0;0,0;2,0;2,0;2,0;0,0;0,0;14,0;6,0;42,86;1,25;0,53;0,14;0,33;10,0;18,0;13,0;12,0;0,0;19,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
5;Ali Abdi;tn TUN;DF, MF;Nice;fr Ligue 1;32,0;1993,0;15,0;11,0;908,0;10,09;1,0;0,0;1,0;1,0;0,0;0,0;4,0;1,0;0,1;4,0;1,0;25,0;0,4;0,1;0,25;1,0;24,0;8,0;9,0;13,0;1,0;14,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
6;Salis Abdul Samed;gh GHA;MF;Nice;fr Ligue 1;25,0;2000,0;14,0;9,0;663,0;7,37;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;7,0;9,0;7,0;0,0;14,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
7;Saud Abdulhamid;sa KSA;MF;Lens;fr Ligue 1;26,0;1999,0;19,0;9,0;918,0;10,2;1,0;2,0;3,0;1,0;0,0;0,0;2,0;0,0;0,29;5,0;2,0;40,0;0,49;0,2;0,2;0,5;30,0;19,0;5,0;9,0;0,0;17,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
8;Tay Abed;il ISR;MF;Levante;es La Liga;22,0;2004,0;2,0;0,0;23,0;0,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
9;Laurent Abergel;fr FRA;MF;Lorient;fr Ligue 1;33,0;1993,0;23,0;23,0;1982,0;22,02;1,0;0,0;1,0;1,0;0,0;0,0;6,0;0,0;0,05;20,0;5,0;25,0;0,91;0,23;0,05;0,2;9,0;22,0;25,0;23,0;0,0;23,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
10;Matthis Abline;fr FRA;FW, MF;Nantes;fr Ligue 1;22,0;2003,0;24,0;20,0;1902,0;21,13;4,0;2,0;6,0;4,0;0,0;1,0;5,0;0,0;0,28;62,0;16,0;25,81;2,93;0,76;0,06;0,25;35,0;11,0;5,0;39,0;0,0;25,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
11;Abner;br BRA;DF, MF;Lyon;fr Ligue 1;25,0;2000,0;19,0;18,0;1521,0;16,9;3,0;0,0;3,0;3,0;0,0;0,0;4,0;1,0;0,18;14,0;5,0;35,71;0,83;0,3;0,21;0,6;45,0;13,0;5,0;6,0;0,0;19,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
12;Zakaria Aboukhlal;ma MAR;MF;Torino;it Serie A;26,0;2000,0;15,0;6,0;511,0;5,68;0,0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;7,0;2,0;28,57;1,23;0,35;0,0;0,0;18,0;12,0;1,0;11,0;0,0;12,0;0,0;;;;;0,0;;;;;;;;;;No;No;No;No;No;No;No;No;No;No
